,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Carlton Fisk,0,Tools of Ignorance,813.0,219.0,756.0,89.0,0.34230905,1126.0,76.0,77.0,3.69416499,1.19919517,1421.0,994.0,36
1,Carlton Fisk,0,Woody's Wombats,574.0,175.0,609.0,54.0,0.33354115,931.0,63.0,36.0,3.08093328,1.07291287,1239.0,914.3333333333334,22
2,Carlton Fisk,0,Virginia  Broken Bats ,608.0,215.0,685.0,62.0,0.33687792,749.0,43.0,47.0,3.3244382,1.0997191,1181.0,712.0,6
3,Carlton Fisk,0,Chico’s  Bail Bonds,797.0,242.0,746.0,60.0,0.34003782,1248.0,78.0,59.0,3.55457586,1.14472484,1416.0,1096.3333333333333,44
4,Carlton Fisk,0,FEATHERIN' IT BROTHER,768.0,223.0,752.0,85.0,0.33402669,805.0,56.0,63.0,4.0293772,1.21856639,1407.0,851.0,38
5,Carlton Fisk,0,World Series Hemorrhoids,675.0,164.0,635.0,74.0,0.32995658,1086.0,62.0,54.0,4.06414735,1.24896793,1375.0,1049.6666666666667,51
6,Carlton Fisk,0,Klickitat Street,736.0,186.0,623.0,87.0,0.33548162,1146.0,71.0,71.0,3.78184072,1.22714596,1416.0,1075.6666666666667,44
7,Carlton Fisk,0,PA Amish Buggies,756.0,191.0,658.0,142.0,0.33501479,1288.0,85.0,27.0,3.63574538,1.14336235,1418.0,1225.3333333333333,51
8,Carlton Fisk,0,Kalamazoo Carbon Emission,774.0,204.0,726.0,89.0,0.33420708,1061.0,72.0,47.0,3.67637745,1.15326156,1491.0,1052.6666666666667,38
9,Carlton Fisk,0,Team McKenzie 2,624.0,179.0,613.0,45.0,0.33326641,886.0,49.0,52.0,3.79439675,1.22006326,1254.0,737.6666666666666,12
10,Carlton Fisk,0,Alabama  Bombsquad ,798.0,229.0,770.0,74.0,0.3407687,1194.0,66.0,8.0,4.3699422,1.26176713,1391.0,1211.0,23
11,Carlton Fisk,0,Springfield Isotopes,721.0,210.0,739.0,63.0,0.32184499,1221.0,72.0,49.0,3.94099379,1.25098814,1460.0,1180.6666666666667,37
